001-01, g, 23.7657500969, 
001-02, g, 28.2246336365, 
001-03, f, 117.0142086456, 
001-04, f, 196.6603969188, 
001-05, g, 24.6544469388, 
001-06, f, 56.9990149925, 
001-07, f, 208.2971170325, 
001-08, g, 22.6221552444, 
001-09, g, 23.1639257366, 
001-10, f, 86.0784741893, 
001-11, g, 53.7579107910, 
001-12, f, 116.6752082777, 
001-13, g, 22.3121291171, 
001-14, g, 23.8386206288, 
001-15, f, 50.6525787667, 
001-16, g, 29.8028165112, 
001-17, g, 21.6401107920, 
001-18, g, 24.4512496925, 
001-19, g, 23.3042933021, 
001-20, f, 68.5283648590, 
001-21, f, 42.7051511900, 
001-22, g, 28.3834707757, 
001-23, g, 22.3394984935, 
001-24, f, 50.6319915539, 
001-25, f, 131.4728672749, 
001-26, g, 45.1133354669, 
001-27, f, 94.8722767034, 
001-28, g, 71.8096512623, 
001-29, g, 26.7951622087, 
001-30, f, 84.2988278809, 
001-31, f, 122.1234634046, 
001-32, f, 134.3027354540, 
001-33, g, 30.7709207764, 
001-34, f, 46.2962315746, 
001-35, f, 104.0719140253, 
001-36, f, 90.2787889628, 
001-37, g, 64.7727817168, 
001-38, f, 66.7759880511, 
001-39, f, 188.4886555649, 
001-40, f, 35.5465765477, 
001-41, f, 68.3379098029, 
001-42, f, 61.3441025255, 
001-43, g, 32.4132102003, 
001-44, f, 53.9945712247, 
001-45, f, 88.3530922827, 
002-01, g, 71.1601837710, 
002-02, f, 130.0506117924, 
002-03, f, 364.0752708040, 
002-04, f, 236.3921331888, 
002-05, f, 94.7053980874, 
002-06, g, 99.7421441028, 
002-07, f, 200.3832555087, 
002-08, f, 120.1497812536, 
002-09, f, 221.3850069715, 
002-10, g, 106.4213888221, 
002-11, f, 257.2229197685, 
002-12, g, 87.7409986843, 
002-13, g, 94.2918545171, 
002-14, f, 223.6859647814, 
002-15, f, 255.2051988802, 
002-16, f, 132.6494324159, 
002-17, f, 178.0089904303, 
002-18, g, 68.3285526960, 
002-19, f, 251.9125297538, 
002-20, g, 117.9640662528, 
002-21, g, 83.2090757156, 
002-22, g, 75.9879993222, 
002-23, g, 69.5566873863, 
002-24, g, 80.1882177338, 
002-25, f, 284.8400320521, 
002-26, g, 68.6422970952, 
002-27, f, 106.0425973609, 
002-28, g, 91.0375008995, 
002-29, g, 88.1212793804, 
002-30, g, 95.7379770364, 
002-31, g, 86.0108415050, 
002-32, g, 71.8086281538, 
002-33, f, 115.7513245131, 
002-34, g, 69.8611633825, 
002-35, f, 290.2548564475, 
002-36, f, 241.9348418078, 
002-37, f, 226.2986193017, 
002-38, f, 162.0384265276, 
002-39, g, 68.5471851621, 
002-40, f, 153.7133267287, 
002-41, f, 204.7479370898, 
002-42, g, 83.5896128584, 
002-43, f, 372.4551864767, 
002-44, f, 387.1024573301, 
002-45, f, 161.6505398294, 
003-01, f, 257.1185953705, 
003-02, f, 358.5630424869, 
003-03, g, 189.2165382716, 
003-04, g, 236.5739958076, 
003-05, f, 279.2982732627, 
003-06, g, 207.3090976131, 
003-07, f, 310.9759218356, 
003-08, f, 465.7299505888, 
003-09, g, 199.9832678701, 
003-10, g, 195.6939810276, 
003-11, f, 332.0278102115, 
003-12, f, 408.6503209581, 
003-13, f, 331.5158885774, 
003-14, g, 161.5457244675, 
003-15, f, 506.2231682031, 
003-16, g, 224.0414107444, 
003-17, f, 358.8990016320, 
003-18, f, 348.7253187894, 
003-19, g, 349.3184015120, 
003-20, g, 235.6086781172, 
003-21, f, 250.6343740374, 
003-22, f, 435.4832074279, 
003-23, f, 462.2729576549, 
003-24, g, 255.2390283321, 
003-25, g, 212.0628169903, 
003-26, g, 221.5743965376, 
003-27, f, 310.3705229431, 
003-28, g, 208.3104037781, 
003-29, f, 487.7699713819, 
003-30, g, 229.3520505326, 
003-31, g, 199.9703937057, 
003-32, f, 271.4880545433, 
003-33, f, 232.2398045473, 
003-34, f, 237.4912596678, 
003-35, f, 391.2760560001, 
003-36, g, 227.5367813867, 
003-37, f, 358.8514603974, 
003-38, f, 718.1653729238, 
003-39, g, 204.6766532344, 
003-40, g, 223.6204816109, 
003-41, f, 224.9079920198, 
003-42, f, 348.6033480145, 
003-43, g, 186.4678724145, 
003-44, f, 461.4148210124, 
003-45, g, 197.8162741173, 
004-01, f, 125.5382307614, 
004-02, f, 249.3563798346, 
004-03, f, 139.2241442366, 
004-04, g, 115.8772141329, 
004-05, g, 108.1185497838, 
004-06, g, 92.6560580291, 
004-07, f, 228.8034897604, 
004-08, f, 242.2189430270, 
004-09, f, 187.4619245494, 
004-10, f, 282.5286447102, 
004-11, g, 81.2687374973, 
004-12, f, 166.4922040581, 
004-13, g, 136.2543912711, 
004-14, f, 281.5569447432, 
004-15, f, 232.3441196359, 
004-16, f, 181.5484493203, 
004-17, g, 193.6961506098, 
004-18, f, 194.3148840937, 
004-19, g, 191.1694556771, 
004-20, g, 104.6532660576, 
004-21, g, 82.1098737610, 
004-22, f, 185.2556136480, 
004-23, g, 149.3289487403, 
004-24, g, 181.4735859955, 
004-25, f, 162.9889060212, 
004-26, f, 109.8321999951, 
004-27, f, 292.6626397412, 
004-28, f, 203.7284537181, 
004-29, g, 102.3581632249, 
004-30, f, 326.3138365453, 
004-31, f, 288.3711172649, 
004-32, g, 82.7447693735, 
004-33, g, 92.0833457941, 
004-34, g, 97.1263801845, 
004-35, f, 287.8099899102, 
004-36, g, 93.5400904071, 
004-37, g, 132.7278356837, 
004-38, g, 95.2583548126, 
004-39, f, 182.6617479692, 
004-40, f, 118.9692073631, 
004-41, g, 143.7831268139, 
004-42, f, 187.2437029789, 
004-43, f, 177.7445154705, 
004-44, f, 144.2418088268, 
004-45, g, 134.8173617588, 
005-01, g, 64.9932426819, 
005-02, f, 179.7873444204, 
005-03, g, 91.6875472993, 
005-04, f, 141.7001861754, 
005-05, g, 78.5460304798, 
005-06, g, 84.6532983403, 
005-07, f, 131.2701721114, 
005-08, g, 98.7815179472, 
005-09, g, 105.1828253151, 
005-10, f, 115.1348881357, 
005-11, g, 94.5483701191, 
005-12, g, 63.6470109199, 
005-13, f, 201.6052338643, 
005-14, f, 199.4857429229, 
005-15, f, 260.8162627619, 
005-16, f, 174.5053648814, 
005-17, f, 146.0043877831, 
005-18, f, 148.6404402261, 
005-19, f, 208.6328936263, 
005-20, f, 139.5245960391, 
005-21, g, 90.7528937868, 
005-22, f, 164.6867842677, 
005-23, f, 137.8719144370, 
005-24, g, 75.9322739393, 
005-25, g, 58.4014180225, 
005-26, g, 102.7847328679, 
005-27, f, 259.8744281701, 
005-28, f, 136.5451223269, 
005-29, f, 154.6101704415, 
005-30, f, 196.9539000179, 
005-31, g, 57.5086009875, 
005-32, f, 163.5151022405, 
005-33, g, 110.6093745261, 
005-34, f, 120.9938419850, 
005-35, g, 111.4092564638, 
005-36, f, 165.8984512507, 
005-37, f, 139.1312323878, 
005-38, g, 93.9672415597, 
005-39, f, 153.8501197549, 
005-40, g, 117.9990539884, 
005-41, f, 206.7253917598, 
005-42, g, 73.7874899958, 
005-43, g, 64.9350724711, 
005-44, f, 221.0705267088, 
005-45, g, 100.5603599882, 
006-01, f, 366.6074613288, 
006-02, f, 701.9144771275, 
006-03, f, 318.4017512887, 
006-04, f, 382.9206969284, 
006-05, f, 418.8143552713, 
006-06, g, 123.0689964125, 
006-07, g, 207.3657274763, 
006-08, g, 196.6445370122, 
006-09, g, 215.0463344695, 
006-10, f, 270.2803452100, 
006-11, f, 328.0885369209, 
006-12, g, 185.7780927504, 
006-13, g, 250.9245358270, 
006-14, g, 135.8975270269, 
006-15, f, 374.4200228179, 
006-16, f, 545.9066317921, 
006-17, f, 202.2790467991, 
006-18, g, 114.8331692083, 
006-19, f, 373.8134073541, 
006-20, f, 356.4504684157, 
006-21, f, 393.2762922508, 
006-22, g, 150.4316459975, 
006-23, f, 349.9562857413, 
006-24, f, 453.5313973778, 
006-25, f, 371.3732788071, 
006-26, g, 117.7764363669, 
006-27, f, 315.1642088286, 
006-28, f, 588.0823585814, 
006-29, g, 251.1863183445, 
006-30, f, 273.4781358503, 
006-31, f, 290.6996304503, 
006-32, g, 140.2488668158, 
006-33, f, 771.4713427005, 
006-34, g, 283.5950908274, 
006-35, f, 335.9407975048, 
006-36, g, 138.6743506693, 
006-37, g, 130.3092157473, 
006-38, g, 157.7681941031, 
006-39, g, 175.8105555665, 
006-40, f, 337.3745903301, 
006-41, f, 681.7209455808, 
006-42, g, 123.6508372024, 
006-43, g, 166.9042558991, 
006-44, g, 175.2949804223, 
006-45, f, 330.0012057530, 
007-01, f, 297.6820561202, 
007-02, g, 109.5710867921, 
007-03, f, 617.2690901642, 
007-04, f, 195.3529432721, 
007-05, g, 105.8826536332, 
007-06, f, 364.0427756758, 
007-07, f, 450.9682358738, 
007-08, g, 115.7931732432, 
007-09, g, 128.0210768810, 
007-10, g, 135.8936746857, 
007-11, g, 118.2983467341, 
007-12, g, 121.0394752016, 
007-13, g, 132.2911589697, 
007-14, f, 388.0586258245, 
007-15, g, 105.5886330024, 
007-16, g, 166.5611547232, 
007-17, f, 182.0503623482, 
